0,ID,Season,Home,Away,TossWin,TossDec,Venue,Winner
302,2012_50,2012,RCB,DC,Home,field,M.Chinnaswamy Stadium,Home
303,2012_51,2012,DD,KKR,Home,bat,Arun Jaitley Stadium,Away
304,2012_52,2012,PWI,RR,Home,bat,Maharashtra Cricket Association Stadium,Away
305,2012_53,2012,DC,KXIP,Home,field,Rajiv Gandhi International Stadium,Away
306,2012_54,2012,MI,RCB,Away,field,Wankhede Stadium,Away
307,2012_55,2012,DC,DD,Home,bat,Rajiv Gandhi International Stadium,Away
308,2012_56,2012,RR,CSK,Away,field,Sawai Mansingh Stadium,Away
309,2012_57,2012,RCB,PWI,Away,field,Maharashtra Cricket Association Stadium,Home
310,2012_58,2012,KKR,MI,Away,bat,Eden Gardens,Away
311,2012_59,2012,CSK,DD,Home,field,MA Chidambaram Stadium,Home
312,2012_60,2012,RR,PWI,Home,bat,Sawai Mansingh Stadium,Home
313,2012_61,2012,KXIP,DC,Away,bat,Punjab Cricket Association IS Bindra Stadium,Home
314,2012_62,2012,RCB,MI,Away,field,M.Chinnaswamy Stadium,Away
315,2012_63,2012,KKR,CSK,Away,field,Eden Gardens,Away
316,2012_64,2012,DD,KXIP,Away,bat,Arun Jaitley Stadium,Home
317,2012_65,2012,MI,KKR,Home,field,Wankhede Stadium,Away
318,2012_66,2012,KXIP,CSK,Home,field,Himachal Pradesh Cricket Association Stadium,Home
319,2012_67,2012,DD,RCB,Home,field,Arun Jaitley Stadium,Away
320,2012_68,2012,DC,RR,Away,bat,Rajiv Gandhi International Stadium,Home
321,2012_69,2012,KXIP,DD,Away,field,Himachal Pradesh Cricket Association Stadium,Away
322,2012_70,2012,KKR,PWI,Home,bat,Maharashtra Cricket Association Stadium,Home
323,2012_71,2012,DD,RCB,Away,field,Rajiv Gandhi International Stadium,Home
324,2012_72,2012,RR,MI,Home,bat,Sawai Mansingh Stadium,Away
325,2012_73,2012,KKR,DC,Home,bat,Maharashtra Cricket Association Stadium,Home
326,2012_74,2012,CSK,MI,Away,field,M.Chinnaswamy Stadium,Home
327,2012_75,2012,CSK,DD,Away,field,MA Chidambaram Stadium,Home
328,2012_76,2012,CSK,KKR,Home,bat,MA Chidambaram Stadium,Away
329,2013_1,2013,KKR,DD,Home,field,Eden Gardens,Home
330,2013_2,2013,RCB,MI,Away,field,M.Chinnaswamy Stadium,Home
331,2013_3,2013,SRH,PWI,Away,field,Rajiv Gandhi International Stadium,Home
332,2013_4,2013,DD,RR,Away,bat,Arun Jaitley Stadium,Away
333,2013_5,2013,CSK,MI,Away,bat,MA Chidambaram Stadium,Away
334,2013_6,2013,KXIP,PWI,Away,bat,Maharashtra Cricket Association Stadium,Home
335,2013_7,2013,SRH,RCB,Away,bat,Rajiv Gandhi International Stadium,Home
336,2013_8,2013,RR,KKR,Away,field,Sawai Mansingh Stadium,Home
337,2013_9,2013,RCB,SRH,Away,bat,M.Chinnaswamy Stadium,Home
338,2013_10,2013,MI,DD,Home,bat,Wankhede Stadium,Home
339,2013_11,2013,KXIP,CSK,Away,field,Punjab Cricket Association IS Bindra Stadium,Away
340,2013_12,2013,RCB,KKR,Home,field,M.Chinnaswamy Stadium,Home
341,2013_13,2013,RR,PWI,Home,bat,Maharashtra Cricket Association Stadium,Away
342,2013_14,2013,DD,SRH,Home,bat,Arun Jaitley Stadium,Away
343,2013_15,2013,MI,PWI,Home,bat,Wankhede Stadium,Home
344,2013_16,2013,CSK,RCB,Home,field,MA Chidambaram Stadium,Home
